RECUPERATE_DATE,DOSE_DAYS_SUM,RECUPERATE_DATE_1,temp_diff,ilsahap_mj_m2,ilsohap_hr
20131123,186,20131123,10.3,8.03,8.2
20131125,933,20131125,10.3,2.06,0.7
20131126,804,20131126,8.2,6.87,5
20131127,916,20131127,9,3.01,2.3
20131128,834,20131128,5.5,9.58,8.9
20131129,541,20131129,10.2,9.68,9.2
20131130,449,20131130,11.7,7.63,8.5
20131201,10,20131201,7.2,7.19,6.1
20131202,565,20131202,6.5,2.07,0
20131203,447,20131203,5.4,6.51,6.9
20131204,607,20131204,7.5,6.56,6.9
20131205,534,20131205,6.9,3.15,0.3
20131206,455,20131206,7.7,9.35,9
20131207,154,20131207,7.2,6.48,5.6
20131209,462,20131209,3.3,0.52,0
20131210,648,20131210,5.7,8.77,8.7
20131211,725,20131211,4.5,7.63,8.3
20131212,768,20131212,6.6,2.71,1.8
20131213,506,20131213,4.6,9.38,8.6
20131214,395,20131214,7.1,4.96,4.7
20131216,819,20131216,7.8,5.31,1.8
20131217,859,20131217,10.2,7.28,5
20131218,606,20131218,7.4,6.83,5.3
20131219,541,20131219,5.6,5.94,5.7
20131220,856,20131220,8,7.55,8.1
20131221,169,20131221,7.2,7.98,8.3
20131223,984,20131223,6,8.64,8.5
20131224,1309,20131224,9.9,8.38,8.6
20131226,790,20131226,6.7,2.57,0.9
20131227,700,20131227,5.6,8.85,8.6
20131228,173,20131228,7.1,9.43,9
20131230,502,20131230,8.2,6.26,7.2
20131231,570,20131231,7.5,7.45,7.9
20140102,935,20140102,7.5,9.18,9
20140103,728,20140103,8.4,4.69,2.7
20140104,247,20140104,9.3,8.14,8.7
20140106,902,20140106,10.1,7.9,8.1
20140107,973,20140107,5.2,3.36,0
20140108,633,20140108,9.7,5.59,3.5
20140109,678,20140109,6.1,10.06,9.3
20140110,584,20140110,8.4,6.91,4.4
20140111,215,20140111,7.8,7.57,6.4
20140113,857,20140113,8.9,10.16,9.3
20140114,788,20140114,10,9.24,9.1
20140115,718,20140115,9.8,9.09,9
20140116,979,20140116,7.6,4.14,1.1
20140117,341,20140117,7.5,6.69,6.2
20140118,228,20140118,5.7,9.57,8.4
20140120,735,20140120,6.1,2.55,0
20140121,544,20140121,4.1,5.38,3.1
20140122,431,20140122,11.1,9.6,9
